@relation train

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@data
233.8,206.84,176.36,13.148,6.0331,276.88,464.52,25,8,3
241.05,210.57,173.38,0.59157,18.591,242.95,444.67,21,26,3
240.63,218.37,186.17,-1.498,9.4667,239.77,309.52,52,19,3
242.71,217.29,182.35,2.4792,15.526,254.61,253.35,31,25,3
235.56,205.08,168.41,-11.459,16.224,280.28,234.13,39,26,3
240.06,215,182.76,3.749,18.049,273.53,286.88,17,25,3
236.87,206.43,169,7.7074,7.8037,388.3,322.22,23,7,3
237.53,206.16,167.47,5.7645,11.093,382.37,384.47,19,16,3
231.06,196.06,161.51,2.9845,21.041,434.28,290.66,47,18,3
230.88,196.8,158.5,0.61645,19.969,420.33,251.38,60,33,3
240.97,214.69,178.04,11.043,10.944,382.13,190.77,96,13,3
244,219.89,181.64,12.335,4.396,347.42,186.37,89,10,3
235.05,204.1,168.56,5.0756,14.685,349.73,137.71,63,18,3
235.21,208.31,173.55,4.8867,23.02,288.97,133.52,58,24,3
237.41,207.28,170.48,8.4974,20.314,241.62,137.72,29,29,3
232.05,205.65,172.3,2.1576,17.047,378.92,143.35,37,18,3
213.06,178.43,137.24,-6.196,23.213,439.3,123.82,88,11,3
189.78,146.59,99.13,2.7041,35.421,508.5,118.26,46,32,3
211.59,178.64,140.97,-2.4356,23.262,562,220.77,66,20,3
215.89,182.46,144.76,4.4795,17.927,563.7,294.54,37,19,3
219.25,187.26,153.07,6.2481,20.426,493.44,298.18,61,21,3
202.65,176.83,140.52,6.2199,10.231,570.54,372.04,48,23,3
188.05,164.66,147.62,10.329,11.21,276.15,96.689,61,16,3
200,174.73,145.9,8.2727,14.798,337.88,84.034,59,21,3
210.56,178.6,139.82,-9.0411,11.628,364.69,20.452,62,14,3
200.87,166.47,134.34,3.8535,10.471,326.14,32.398,98,16,3
199.98,167.95,138.75,-8.7935,14.876,312.32,56.375,56,18,3
198.47,162.05,136.05,-1.2858,12.312,317.05,88.053,19,20,3
169.54,152.78,138.16,14.166,23.774,102.46,176.88,50,40,4
162.58,147.88,132.54,4.7241,33.641,78,205.17,24,49,4
169.58,156.83,150.57,-3.0466,14.494,69.864,227.17,81,17,4
160.54,143.88,128.83,-4.7686,21.186,93.707,222.88,41,49,4
165.97,153.8,137.11,11.377,23.025,89.314,266.11,35,31,4
172.38,156.64,144.74,14.005,26.33,91.379,304.1,58,31,4
182.98,170.83,159.47,9.5299,19.649,64.107,315.87,122,21,4
173.13,155.13,142.87,19.661,14.769,112.23,267.47,30,24,4
163.02,146.02,131.44,4.6844,21.096,117.67,304.4,48,47,4
157.6,142.42,126.48,-4.266,26.62,87.776,343.67,67,21,4
163.05,145.63,129.42,-13.425,15.777,74.158,350.74,19,26,4
160.5,148.05,131.21,1.2687,29.311,97.816,373.55,38,68,4
169.39,154.03,139.56,-11.86,22.749,77.188,379.95,64,26,4
162.89,146.66,134.24,-2.9212,19.816,94.684,424.66,76,36,4
158.67,144.49,129.84,8.7878,22.012,78.909,434.76,55,22,4
170.12,153.29,140.51,-3.8002,35.889,122.15,443.37,41,53,4
165.39,147.52,133.97,17.888,26.603,123.55,487.06,31,17,4
168.42,152.47,141.47,-17.172,24.398,86.472,461.61,36,35,4
164.97,149.79,139.85,-2.2305,23.247,82.795,501.87,39,28,4
165.56,151.62,141.15,-13.81,18.469,84.765,549.44,34,26,4
161.38,147.07,136.72,3.7381,18.017,102.93,504.62,29,16,4
165.5,150.38,139.63,-3.5545,25.343,102.34,589.38,32,21,4
160.57,143.57,137.93,-0.15018,15.243,82.714,594.5,14,16,4
153.8,135.05,122.65,-0.34381,13.949,129.8,637.73,40,17,4
145.76,130.83,117.52,-2.7413,18.579,101.28,629.66,29,27,4
168.14,150.95,141.57,-2.2263,23.944,100.67,672.81,21,45,4
173.43,156.12,142.24,4.0159,14.663,79.041,675.33,49,21,4
154.71,138.74,130.38,12.507,18.476,105.85,725.18,72,24,4
151.11,135.14,124.77,-9.675,18.989,136.33,670.1,115,16,4
189.99,193.18,194.63,5.621,3.5086,164.77,171.55,166,3,5
137.32,131.11,130.92,14.361,17.176,160.54,201.36,427,2,5
196.6,213.08,222.82,33.547,1.4724,171.8,350.94,125,3,5
194.48,207.65,216.29,6.5306,4.6845,165.23,387.65,77,5,5
161.39,161.28,142.39,8.4469,31.62,181.12,565.38,69,5,5
225.34,231.91,232.16,27.871,1.6705,172.03,603.91,125,1,5
195.01,201.27,188.28,-3.2289,36.584,174.46,740.33,95,2,5
219.84,222.46,217.92,8.2399,10.803,177.61,771.84,270,5,5
176.54,179.52,180.99,25.425,24.796,300.14,397.7,160,18,5
76.338,67.873,64.15,24.264,15.165,317.65,361.24,393,8,5
95.772,89.18,83.358,4.5996,22.695,267.46,360.4,461,5,5
126.96,123.39,117.05,4.7862,36.354,257.22,396.27,236,30,5
201.97,221.75,232.26,13.774,10.905,281.72,187.98,97,3,5
119.15,114.79,103.6,7.7984,25.774,437.1,343.87,242,53,5
108.93,105.43,94.709,-5.5426,26.839,437.53,390.39,251,55,5
158.47,166.69,165.6,10.831,11.358,490.14,396.36,402,7,5
199.14,206.36,202.48,14.721,7.9401,498.89,347.77,56,8,5
190.97,213.56,225.24,23.464,5.0615,268.64,194.37,245,1,5
111.73,113.52,109.41,-5.4506,22.012,439.92,579.39,371,37,5
95.991,100.3,97.346,4.4291,21.442,443.35,615.49,428,51,5
132.09,148.57,154.18,1.2066,18.982,492.38,619.99,279,11,5
150.74,160.05,162.23,5.5533,12.004,491.69,579.13,486,8,5
92.286,87.683,81.413,-13.135,21.86,267.48,610.3,63,10,5
138.66,123.97,102.18,12.906,32.928,268.68,572.16,38,78,5
50.067,36.533,23.322,42.795,1.0888,318.6,591.1,90,1,5
56.854,43.566,27.066,8.1004,12.087,302.47,572.58,198,2,5
66.44,63.161,59.943,26.111,13.464,330.04,603.03,441,3,5
69.44,61.899,57.518,12.762,27.002,292.78,610.73,218,47,5
45.142,31.725,21.018,14.143,9.0736,331.44,579.55,331,3,5
121.36,82.507,72.726,10.5,9.135,466.04,152.32,73,10,6
108.79,84.321,75.377,11.776,7.6058,459.57,173.81,53,12,6
124.69,73.753,65.629,-4.9531,14.183,485.54,150.6,89,38,6
106.82,68.844,58.489,15.515,12.654,504.73,171.47,45,30,6
88.063,65.008,53.587,20.408,4.7533,532.17,153.75,126,4,6
90.48,68.16,60.52,12.605,5.6216,529.96,175.96,25,6,6
89.359,67.051,55.641,14.389,5.7312,571.23,175.21,39,9,6
85.417,62.689,50.879,23.878,5.5392,570.6,140.36,132,4,6
26,16.821,17.857,13.247,4.6942,464.79,783.43,28,2,6
55.739,61.775,59.408,0.78056,30.678,503.04,794.12,142,83,7
57.497,129.28,133.55,-3.4415,31.693,528.4,792.52,157,10,7
254.99,254.99,254.99,87.069,0.019415,21.133,42.705,1167,0,1
254.97,254.97,254.97,82.308,0.12247,28.312,84.902,234,0,1
254.92,255,254.99,83.821,0.042524,16.705,166.78,386,0,1
242.3,243.71,241.58,50.378,8.0032,24.533,307.82,255,0,1
254.99,254.99,254.99,87.653,0.03069,36.509,376.47,1227,0,1
250.61,250.39,249.91,76.386,3.1442,31.059,453.04,2035,0,1
254.9,254.96,254.86,84.994,0.13411,29.002,599.13,512,0,1
255,255,255,88.213,0,51.521,751.1,10172,0,1
254.99,254.99,254.99,89.557,0.018155,137.77,662.5,6138,0,1
254.97,254.97,254.91,88.109,0.06296,155.37,753.41,10285,0,1
254.99,255,254.99,89.672,0.010761,243.51,657.26,5480,0,1
252.83,252.95,249.33,71.83,2.9084,225.03,749.82,1007,0,1
254.73,254.79,253.57,77.519,0.41028,353.19,662.84,560,0,1
143.24,135.57,57.568,13.6,17.949,367.19,788.86,37,18,2
102.67,98.513,36.359,17.451,12.187,456.49,782.92,39,13,2
159.9,142.58,56.806,-0.067439,15.186,478.52,743.48,31,21,2
129.25,113.35,53.584,9.6457,27.97,484.11,680.55,113,31,2
148.86,139.34,66.214,18.626,14.976,488.58,615.99,131,19,2
51.622,57.081,29.946,-11.603,32.092,263.7,16.243,37,39,2
56.978,67.911,38.6,10.595,30.31,313.93,47.578,45,27,2
103.46,108.52,64.24,6.8329,26.314,390.34,67.52,50,55,2
68.167,70.934,36.157,-4.5241,22.911,467.48,76.495,198,29,2
49.955,51.125,24.898,20.647,15.635,505.6,17.795,88,31,2
69.466,77.552,42.966,-11.935,23.549,387.31,14.241,58,23,2
141.14,142.9,97.707,6.074,15.978,548.89,711.74,191,14,2
71.816,68.737,38.579,16.349,10.915,572.34,626.53,38,12,2
203.31,175.53,161.89,3.4381,12.454,133.97,565.63,106,40,3
191.28,160.07,144.54,3.7534,11.251,217.31,554.99,122,18,3
174.19,147.95,131.59,7.2157,18.499,338.81,560.35,111,21,3
173.11,140.42,120.75,11.945,15.651,403.35,557.95,57,16,3
174.83,139.6,116.69,0.91336,13.991,478.65,557.26,127,38,3
145.94,111.32,93.992,-7.98,16.2,555.9,570.43,133,32,3
184.15,140.15,110.72,1.5477,12.483,583.58,488.18,40,17,3
148.48,120.6,102.76,5.6436,17.116,472.32,485.36,25,16,3
180.62,148.64,126.72,-0.776,14.803,340.08,487.43,61,12,3
191.6,154.53,142.92,14.052,12.215,213.28,485.3,53,13,3
180.69,156.86,143.43,11.19,17.844,135.86,439.37,49,22,3
178.12,146.55,132.24,10.774,11.976,229.45,434.48,146,16,3
169.67,142.43,122.9,1.6772,16.987,367.93,427.77,30,26,3
145.42,119.92,104.07,5.9103,26.268,474.37,429.71,73,44,3
157.6,118.87,98.726,5.7312,13.603,550.75,423.37,84,30,3
160.28,126.26,108.47,2.1824,17.16,436.51,337.37,43,20,3
178.48,142.84,121.3,0.40498,14.809,342.81,343.72,88,21,3
169.88,144.22,131.53,-8.3668,22.819,276.46,355.11,72,21,3
194.54,164.31,148.81,-4.1309,12.05,201.72,350.37,97,10,3
191.93,158.61,146.73,1.8516,14.573,150.14,357.9,111,15,3
252.49,245,228.48,0.83679,4.8862,58.552,316.62,163,13,3
228.77,200.78,180.35,2.4609,10.24,95.623,285.27,77,9,3
229.05,198.34,175.76,7.8281,7.939,125.37,262.24,38,17,3
202.9,167.38,147.36,-5.2311,7.7541,195.45,252.67,42,12,3
182,149.94,132.63,-12.362,17.27,280.86,251.86,63,23,3
160.89,134.59,116.61,4.4689,27.159,360.38,247.92,64,50,3
164.67,134.05,114.4,-3.2027,29.008,449.21,237.76,42,74,3
152.89,122.52,104.23,-5.0892,16.225,536.98,231.85,96,22,3
194.3,166.24,151.54,15.075,9.8664,143.67,225.87,46,13,3
172.21,149.44,136.59,8.0898,16.825,207.06,210.88,34,24,3
187.4,157.11,134.26,-4.4014,11.101,282.69,197.63,35,11,3
163.1,141.21,124.78,8.6645,22.336,355,192.72,105,25,3
168.87,132.02,110.31,1.8212,16.763,432.96,194.33,165,22,3
147.11,114.35,99.532,6.1581,16.151,518.85,187.18,62,24,3
156.51,122.77,105.65,3.8763,19.375,563.09,162.46,185,40,3
154.98,119.21,103.19,6.4393,26.482,488.52,163.37,52,17,3
191.56,162.19,140.38,5.3146,19.134,315.47,165.16,32,24,3
181.82,149.45,129.69,6.2503,15.467,316.24,127.54,84,24,3
186.83,158.15,144.35,-2.5701,15.56,245.42,178.95,86,16,3
196.81,158.71,147.11,4.9885,10.365,182.47,172.63,62,22,3
183.77,152.6,139.73,15.975,13.599,180.32,136.25,73,19,3
192.12,154.55,141.25,-5.4238,12.893,189.76,87.978,91,22,3
194.24,161.88,150.54,15.499,13.449,191.38,38.5,68,27,3
152.07,134.77,125.87,-0.92247,16.54,111.13,13.294,282,29,3
185.74,154.64,140.71,8.6913,13.347,121.69,61.306,72,13,3
177.61,144.46,135.59,-3.031,11.114,110.08,117.97,92,16,3
183.45,152.15,139.34,8.6613,15.372,109.51,191.64,53,16,3
189.1,165.51,156.67,19.059,16.34,142.08,99.846,39,13,3
168.58,151,140.5,0.16682,25.375,241.25,93.458,24,48,3
188.96,157.7,144.39,-5.9829,15.127,150.7,457.7,23,14,3
165.74,153.3,150.75,-11.165,24.903,141.34,504.19,273,10,3
168.65,136.3,121.84,2.6307,15.212,269.85,448.84,222,24,3
166.9,144.47,134.3,4.058,24.057,265.03,514.07,30,39,3
160.59,134.27,118,3.2817,21.696,397.95,519.23,79,34,3
126.92,104.98,92.147,14.357,23.036,398.67,462.04,116,18,3
165.55,133.28,112.32,4.8785,17.26,420.13,417.45,47,13,3
174.81,140.35,128.59,7.0537,16.842,130.34,296.55,128,27,3
160.47,130.09,117.33,-3.2937,14.856,243.91,286.2,45,3,3
145.91,121.38,105.12,-1.7871,20.617,364.14,281.13,105,32,3
128.27,130.13,126.93,-23.9,20.131,62.533,29.133,15,28,4
135.17,137.06,132.06,-33.666,20.243,60.611,124.11,18,21,4
125.32,127.85,119.99,-16.707,15.658,98.153,25.694,72,30,4
127,129.59,123.41,-23.244,18.669,87.614,101.23,44,30,4
128.58,129.71,124.55,-32.878,17.362,73.605,91.447,38,32,4
134.85,136.03,130.97,-26.604,15.849,70.636,163.48,33,22,4
162.26,160.79,144.11,-3.9968,15.576,82.632,211.58,19,20,4
158.49,158.73,152.99,21.515,20.336,43.544,291.5,90,22,4
174.4,177.41,173.13,9.4035,22.209,43.336,238.94,119,10,4
134.92,135.77,133.67,-20.849,16.8,55.897,187.31,39,32,4
159.19,157.31,133.54,10.121,16.129,88.434,334.87,83,11,4
152.51,153.78,130.86,14.768,15.536,105.08,335.73,49,10,4
144.61,145.61,140.32,12.773,11.919,81.484,394.39,31,18,4
141.9,144.1,137.5,5.0342,15.778,99.775,406.7,40,11,4
144.29,144.67,139.21,9.4693,10.68,81.881,449.88,42,18,4
151.06,152.87,143.32,9.6621,13.404,82.434,485.87,136,15,4
141.72,141,130.19,13.317,13.016,96.688,529.75,32,17,4
164.71,168.09,164.42,2.2085,27.09,70.5,544,66,14,4
164.84,163.88,158.54,-20.229,14.111,77.196,567.09,56,25,4
184.97,196.13,191.94,10.341,57.304,79.216,34.371,97,7,5
180.62,181.06,180.79,5.9375,59.278,60.486,236.84,109,32,5
166.69,177.11,181.75,25.446,1.7778,157.63,39.362,152,1,5
153.62,159.07,162.67,35.515,13.454,155.12,68.833,317,1,5
189.45,193,193.98,19.565,5.7657,147.23,132.14,83,17,5
193.98,197.65,199.5,26.723,4.4001,146.79,179.6,48,4,5
168.83,174.83,179.08,-5.7366,3.0802,228.5,44,12,4,5
145.87,138.56,135.21,9.6117,23.748,225.88,76.79,224,10,5
152.8,140.42,138.12,29.863,21.29,231.97,103.09,158,3,5
174.67,170.31,172.14,36.124,13.426,237.66,143.52,308,6,5
188.49,178.92,182.71,2.3483,4.3258,280.75,122.64,59,5,5
90.507,82.901,71.592,20.082,26.46,381.08,144.54,71,61,5
87.466,77.393,69.528,6.3755,15.052,401.22,127.41,163,4,5
71.845,65.093,52.264,13.735,23.248,417.99,123.8,129,16,5
80.95,49.604,49.031,8.1722,18.763,568.45,92.688,260,6,5
79.722,50.639,20,5.4716,8.9467,405.44,284.28,36,12,5
109.65,83.943,56.562,3.1988,14.177,294.25,297.39,194,2,5
79.852,72.408,67.776,0.61291,7.4036,158.42,287.9,196,3,5
77.29,74.03,73.325,3.1787,19.15,198.44,297.89,231,6,5
98.333,50.619,51.81,19.337,6.4515,327.38,291.27,63,9,5
72.555,66.402,60.148,7.9707,19.059,453.45,268.1,256,41,5
91.562,63.652,42.219,14.709,8.0038,527.36,491.06,201,12,5
116.45,98.786,78.133,28.135,6.6026,397.07,491.76,173,5,5
138.05,140.26,143.95,13.461,9.9497,259.36,491.8,535,5,5
203.1,201.87,207.67,-4.5369,5.5735,149.93,485.62,108,7,5
84.537,75.7,64.934,17.945,8.9279,534.81,273.26,287,8,6
88.237,82.944,78.827,11.092,12.218,585,271.31,498,1,6
88.237,82.944,78.827,11.092,12.218,585,271.31,498,3,6
220.67,221.44,222.26,36.21,12.363,122.86,86.116,380,0,1
248.53,252.51,254.99,82.259,0.09785,84.662,25.897,2103,0,1
251.38,253.09,254.95,81.505,0.1071,41.557,32.769,2636,0,1
251.93,253.54,254.98,82.187,0.10783,41.097,97.297,5014,1,1
252.7,253.86,254.99,84.691,0.05607,37.29,142.85,2543,0,1
251.81,252.64,253.75,77.238,0.76471,54.445,181.79,3041,0,1
252.88,253.9,254.99,85.289,0.050118,36.999,299.56,7103,0,1
251.76,253.34,254.85,71.239,0.3145,87.71,263.73,1178,0,1
252.88,253.9,254.99,85.289,0.050118,36.999,299.56,7103,0,1
252.46,253.46,255,86.606,0.048827,65.388,354.17,1962,0,1
252.47,253.61,254.9,82.257,0.099365,26.355,428.47,5913,1,1
252.96,253.96,255,85.29,0.068295,76.161,496.02,707,0,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,5942,0,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,5942,1,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,5942,0,1
248.04,251.96,254.99,82.045,0.11242,84.525,693.55,948,0,1
249.93,252.58,254.98,78.801,0.1701,18.82,733.42,3725,0,1
247.28,250.83,254.84,70.553,0.30724,130.85,760.19,356,0,1
249.03,252.21,254.93,74.655,0.26252,81.06,655.21,4796,0,1
252.1,253.56,254.96,83.085,0.13025,74.197,395.41,3883,0,1
252.71,253.75,254.97,83.472,0.084799,62.362,232.83,2640,0,1
252.47,253.61,254.9,82.257,0.099365,26.355,428.47,5913,0,1
252.71,253.75,254.97,83.472,0.084799,62.362,232.83,2640,0,1
92.42,107.16,63.932,-4.7802,32.537,432.39,132.33,88,32,2
94.95,113.63,65.317,-0.96888,26.551,428.92,164.62,60,34,2
105.66,126.32,82.799,-1.3123,37.012,480.51,261.25,154,55,2
176.04,188.71,114.79,-10.225,11.376,521.5,504.29,24,17,2
167.67,178.16,106.05,0.65833,12.15,520.12,634.98,86,19,2
144.71,176.64,98.786,18.951,11.243,568.64,537.14,14,9,2
195.75,197.34,144.29,2.7009,14.039,507.61,350.58,178,9,2
83.966,110.39,58.17,9.4858,31.601,439.19,20.648,88,29,2
98.955,113.36,59.705,-4.1085,26.414,461.02,778.07,44,49,2
138.51,141.22,68.785,-15.846,24.62,461.09,665.54,65,22,2
241.42,223.5,201.6,13.48,8.498,257.5,12.063,48,7,3
229.38,211.32,193.18,19.35,7.2132,239.88,41.9,60,7,3
231.7,213.05,188.2,-13.356,10.297,282,32.5,20,14,3
212.52,184.89,161.15,0.48776,19.012,347.41,38.074,27,35,3
228.96,199.28,164.68,-15.682,11.26,346.92,11.4,25,15,3
210.17,184.1,158.29,3.5992,23.12,379.54,36.415,41,28,3
244,221,195.6,-6.5798,9.5541,379.77,62.014,70,15,3
236,212.63,183.44,14.03,11.149,423.56,59.563,16,16,3
245.96,226.55,202.45,-0.80831,10.141,306.35,66.2,135,12,3
243.63,227.67,202.54,3.3797,15.953,238.33,77.566,122,7,3
249.97,235.5,214.37,4.3091,7.0727,268.11,74.778,90,16,3
249.82,233.47,208.53,-14.26,8.7664,257,100,17,11,3
251.58,236.4,213.19,2.3678,5.1522,262.72,148.65,43,6,3
250.55,235.71,210.67,7.0885,6.6702,229.53,150.22,58,3,3
