@RELATION train_nogradient

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
234.65,203.02,168.19,32.115,195.77,52,14,3
241.65,215.93,183.51,60.098,176.92,92,16,3
236.95,212.98,178.14,162.62,135.64,42,24,3
242.23,219.84,188.71,214.32,131.74,119,8,3
240.68,219.64,186.99,210.39,184.93,85,22,3
246.41,226.27,195.12,211.93,239.84,120,20,3
243.91,219.2,185,171.97,254.69,35,9,3
244.7,219.24,186.75,173.81,302.47,83,29,3
241.2,220.02,191.43,217.75,290.95,93,15,3
242.13,214.64,180.51,211.96,360.72,69,14,3
234.58,210.38,175.81,214.38,416.81,26,27,3
233.94,207.77,175.7,218.98,460.44,64,56,3
242.89,221.66,191.85,176.54,449.15,97,21,3
242.47,218.27,185.52,175.32,513.64,81,14,3
239.43,216.13,186.05,220.87,519.39,98,23,3
238.56,213.98,180.94,218.1,567.31,48,22,3
239.7,218.09,184.57,216.95,634.5,44,7,3
237.99,214.22,177.86,220.77,689.4,116,17,3
232.85,207.52,169,178.33,687.3,27,19,3
240.57,219.46,187.52,212.41,729.46,56,17,3
221.46,191.2,160.02,262.18,698.38,56,32,3
197.98,167.19,137.93,316.84,700.69,89,59,3
180.43,150.73,123.05,355.77,704.13,56,15,3
152.39,130.47,110.83,394.38,719.15,72,9,3
121,97.11,79,444.6,733.25,73,30,3
204.43,174.11,144.49,321.08,663.91,65,12,3
229.02,201.12,168.68,258.17,660.45,103,22,3
204.94,170.1,135,381.55,624,203,32,3
220.21,185.11,153.68,389.77,581.63,56,20,3
218.6,199.06,170.76,388.54,548.02,85,8,3
226.17,198.7,163.09,334.52,531,54,39,3
238.92,214.17,178.69,267.97,528.47,36,16,3
230.7,202.91,166.64,281.24,501.34,70,23,3
232.8,202,159.13,353.17,504.7,30,28,3
216.25,178.86,143.83,418.3,508.79,71,29,3
200.32,165.36,136.08,492.64,513.32,25,21,3
181.69,151.17,126.38,567.21,510.31,29,25,3
182.59,154.95,126.04,577.72,563.32,75,20,3
178.71,152.29,124,577.79,615.71,24,22,3
159.45,131.96,104.53,573.41,687.43,51,12,3
141.65,117.49,92.912,570.04,750.68,57,9,3
189,152.47,122.31,532.29,543.16,49,15,3
198.03,167.17,134.45,442.83,534.62,29,24,3
209.98,174.2,135.25,569.9,436.51,99,33,3
209.05,170.55,134.43,531.48,442.82,84,13,3
204.2,170.73,137.94,461.61,459.3,84,45,3
207.68,177.68,145.36,412.86,430.27,22,47,3
222.98,190.16,150.88,350.71,454.96,49,30,3
223.47,192.47,153.09,374.39,423.37,57,47,3
233.5,203.35,165.89,305.22,437.74,46,10,3
233.8,206.84,176.36,276.88,464.52,25,8,3
241.05,210.57,173.38,242.95,444.67,21,26,3
240.63,218.37,186.17,239.77,309.52,52,19,3
242.71,217.29,182.35,254.61,253.35,31,25,3
235.56,205.08,168.41,280.28,234.13,39,26,3
240.06,215,182.76,273.53,286.88,17,25,3
236.87,206.43,169,388.3,322.22,23,7,3
237.53,206.16,167.47,382.37,384.47,19,16,3
231.06,196.06,161.51,434.28,290.66,47,18,3
230.88,196.8,158.5,420.33,251.38,60,33,3
240.97,214.69,178.04,382.13,190.77,96,13,3
244,219.89,181.64,347.42,186.37,89,10,3
235.05,204.1,168.56,349.73,137.71,63,18,3
235.21,208.31,173.55,288.97,133.52,58,24,3
237.41,207.28,170.48,241.62,137.72,29,29,3
232.05,205.65,172.3,378.92,143.35,37,18,3
213.06,178.43,137.24,439.3,123.82,88,11,3
189.78,146.59,99.13,508.5,118.26,46,32,3
211.59,178.64,140.97,562,220.77,66,20,3
215.89,182.46,144.76,563.7,294.54,37,19,3
219.25,187.26,153.07,493.44,298.18,61,21,3
202.65,176.83,140.52,570.54,372.04,48,23,3
188.05,164.66,147.62,276.15,96.689,61,16,3
200,174.73,145.9,337.88,84.034,59,21,3
210.56,178.6,139.82,364.69,20.452,62,14,3
200.87,166.47,134.34,326.14,32.398,98,16,3
199.98,167.95,138.75,312.32,56.375,56,18,3
198.47,162.05,136.05,317.05,88.053,19,20,3
169.54,152.78,138.16,102.46,176.88,50,40,4
162.58,147.88,132.54,78,205.17,24,49,4
169.58,156.83,150.57,69.864,227.17,81,17,4
160.54,143.88,128.83,93.707,222.88,41,49,4
165.97,153.8,137.11,89.314,266.11,35,31,4
172.38,156.64,144.74,91.379,304.1,58,31,4
182.98,170.83,159.47,64.107,315.87,122,21,4
173.13,155.13,142.87,112.23,267.47,30,24,4
163.02,146.02,131.44,117.67,304.4,48,47,4
157.6,142.42,126.48,87.776,343.67,67,21,4
163.05,145.63,129.42,74.158,350.74,19,26,4
160.5,148.05,131.21,97.816,373.55,38,68,4
169.39,154.03,139.56,77.188,379.95,64,26,4
162.89,146.66,134.24,94.684,424.66,76,36,4
158.67,144.49,129.84,78.909,434.76,55,22,4
170.12,153.29,140.51,122.15,443.37,41,53,4
165.39,147.52,133.97,123.55,487.06,31,17,4
168.42,152.47,141.47,86.472,461.61,36,35,4
164.97,149.79,139.85,82.795,501.87,39,28,4
165.56,151.62,141.15,84.765,549.44,34,26,4
161.38,147.07,136.72,102.93,504.62,29,16,4
165.5,150.38,139.63,102.34,589.38,32,21,4
160.57,143.57,137.93,82.714,594.5,14,16,4
153.8,135.05,122.65,129.8,637.73,40,17,4
145.76,130.83,117.52,101.28,629.66,29,27,4
168.14,150.95,141.57,100.67,672.81,21,45,4
173.43,156.12,142.24,79.041,675.33,49,21,4
154.71,138.74,130.38,105.85,725.18,72,24,4
151.11,135.14,124.77,136.33,670.1,115,16,4
189.99,193.18,194.63,164.77,171.55,166,3,5
137.32,131.11,130.92,160.54,201.36,427,2,5
196.6,213.08,222.82,171.8,350.94,125,3,5
194.48,207.65,216.29,165.23,387.65,77,5,5
161.39,161.28,142.39,181.12,565.38,69,5,5
225.34,231.91,232.16,172.03,603.91,125,1,5
195.01,201.27,188.28,174.46,740.33,95,2,5
219.84,222.46,217.92,177.61,771.84,270,5,5
176.54,179.52,180.99,300.14,397.7,160,18,5
76.338,67.873,64.15,317.65,361.24,393,8,5
95.772,89.18,83.358,267.46,360.4,461,5,5
126.96,123.39,117.05,257.22,396.27,236,30,5
201.97,221.75,232.26,281.72,187.98,97,3,5
119.15,114.79,103.6,437.1,343.87,242,53,5
108.93,105.43,94.709,437.53,390.39,251,55,5
158.47,166.69,165.6,490.14,396.36,402,7,5
199.14,206.36,202.48,498.89,347.77,56,8,5
190.97,213.56,225.24,268.64,194.37,245,1,5
111.73,113.52,109.41,439.92,579.39,371,37,5
95.991,100.3,97.346,443.35,615.49,428,51,5
132.09,148.57,154.18,492.38,619.99,279,11,5
150.74,160.05,162.23,491.69,579.13,486,8,5
92.286,87.683,81.413,267.48,610.3,63,10,5
138.66,123.97,102.18,268.68,572.16,38,78,5
50.067,36.533,23.322,318.6,591.1,90,1,5
56.854,43.566,27.066,302.47,572.58,198,2,5
66.44,63.161,59.943,330.04,603.03,441,3,5
69.44,61.899,57.518,292.78,610.73,218,47,5
45.142,31.725,21.018,331.44,579.55,331,3,5
121.36,82.507,72.726,466.04,152.32,73,10,6
108.79,84.321,75.377,459.57,173.81,53,12,6
124.69,73.753,65.629,485.54,150.6,89,38,6
106.82,68.844,58.489,504.73,171.47,45,30,6
88.063,65.008,53.587,532.17,153.75,126,4,6
90.48,68.16,60.52,529.96,175.96,25,6,6
89.359,67.051,55.641,571.23,175.21,39,9,6
85.417,62.689,50.879,570.6,140.36,132,4,6
26,16.821,17.857,464.79,783.43,28,2,6
55.739,61.775,59.408,503.04,794.12,142,83,7
57.497,129.28,133.55,528.4,792.52,157,10,7
254.99,254.99,254.99,21.133,42.705,1167,0,1
254.97,254.97,254.97,28.312,84.902,234,0,1
254.92,255,254.99,16.705,166.78,386,0,1
242.3,243.71,241.58,24.533,307.82,255,0,1
254.99,254.99,254.99,36.509,376.47,1227,0,1
250.61,250.39,249.91,31.059,453.04,2035,0,1
254.9,254.96,254.86,29.002,599.13,512,0,1
255,255,255,51.521,751.1,10172,0,1
254.99,254.99,254.99,137.77,662.5,6138,0,1
254.97,254.97,254.91,155.37,753.41,10285,0,1
254.99,255,254.99,243.51,657.26,5480,0,1
252.83,252.95,249.33,225.03,749.82,1007,0,1
254.73,254.79,253.57,353.19,662.84,560,0,1
143.24,135.57,57.568,367.19,788.86,37,18,2
102.67,98.513,36.359,456.49,782.92,39,13,2
159.9,142.58,56.806,478.52,743.48,31,21,2
129.25,113.35,53.584,484.11,680.55,113,31,2
148.86,139.34,66.214,488.58,615.99,131,19,2
51.622,57.081,29.946,263.7,16.243,37,39,2
56.978,67.911,38.6,313.93,47.578,45,27,2
103.46,108.52,64.24,390.34,67.52,50,55,2
68.167,70.934,36.157,467.48,76.495,198,29,2
49.955,51.125,24.898,505.6,17.795,88,31,2
69.466,77.552,42.966,387.31,14.241,58,23,2
141.14,142.9,97.707,548.89,711.74,191,14,2
71.816,68.737,38.579,572.34,626.53,38,12,2
203.31,175.53,161.89,133.97,565.63,106,40,3
191.28,160.07,144.54,217.31,554.99,122,18,3
174.19,147.95,131.59,338.81,560.35,111,21,3
173.11,140.42,120.75,403.35,557.95,57,16,3
174.83,139.6,116.69,478.65,557.26,127,38,3
145.94,111.32,93.992,555.9,570.43,133,32,3
184.15,140.15,110.72,583.58,488.18,40,17,3
148.48,120.6,102.76,472.32,485.36,25,16,3
180.62,148.64,126.72,340.08,487.43,61,12,3
191.6,154.53,142.92,213.28,485.3,53,13,3
180.69,156.86,143.43,135.86,439.37,49,22,3
178.12,146.55,132.24,229.45,434.48,146,16,3
169.67,142.43,122.9,367.93,427.77,30,26,3
145.42,119.92,104.07,474.37,429.71,73,44,3
157.6,118.87,98.726,550.75,423.37,84,30,3
160.28,126.26,108.47,436.51,337.37,43,20,3
178.48,142.84,121.3,342.81,343.72,88,21,3
169.88,144.22,131.53,276.46,355.11,72,21,3
194.54,164.31,148.81,201.72,350.37,97,10,3
191.93,158.61,146.73,150.14,357.9,111,15,3
252.49,245,228.48,58.552,316.62,163,13,3
228.77,200.78,180.35,95.623,285.27,77,9,3
229.05,198.34,175.76,125.37,262.24,38,17,3
202.9,167.38,147.36,195.45,252.67,42,12,3
182,149.94,132.63,280.86,251.86,63,23,3
160.89,134.59,116.61,360.38,247.92,64,50,3
164.67,134.05,114.4,449.21,237.76,42,74,3
152.89,122.52,104.23,536.98,231.85,96,22,3
194.3,166.24,151.54,143.67,225.87,46,13,3
172.21,149.44,136.59,207.06,210.88,34,24,3
187.4,157.11,134.26,282.69,197.63,35,11,3
163.1,141.21,124.78,355,192.72,105,25,3
168.87,132.02,110.31,432.96,194.33,165,22,3
147.11,114.35,99.532,518.85,187.18,62,24,3
156.51,122.77,105.65,563.09,162.46,185,40,3
154.98,119.21,103.19,488.52,163.37,52,17,3
191.56,162.19,140.38,315.47,165.16,32,24,3
181.82,149.45,129.69,316.24,127.54,84,24,3
186.83,158.15,144.35,245.42,178.95,86,16,3
196.81,158.71,147.11,182.47,172.63,62,22,3
183.77,152.6,139.73,180.32,136.25,73,19,3
192.12,154.55,141.25,189.76,87.978,91,22,3
194.24,161.88,150.54,191.38,38.5,68,27,3
152.07,134.77,125.87,111.13,13.294,282,29,3
185.74,154.64,140.71,121.69,61.306,72,13,3
177.61,144.46,135.59,110.08,117.97,92,16,3
183.45,152.15,139.34,109.51,191.64,53,16,3
189.1,165.51,156.67,142.08,99.846,39,13,3
168.58,151,140.5,241.25,93.458,24,48,3
188.96,157.7,144.39,150.7,457.7,23,14,3
165.74,153.3,150.75,141.34,504.19,273,10,3
168.65,136.3,121.84,269.85,448.84,222,24,3
166.9,144.47,134.3,265.03,514.07,30,39,3
160.59,134.27,118,397.95,519.23,79,34,3
126.92,104.98,92.147,398.67,462.04,116,18,3
165.55,133.28,112.32,420.13,417.45,47,13,3
174.81,140.35,128.59,130.34,296.55,128,27,3
160.47,130.09,117.33,243.91,286.2,45,3,3
145.91,121.38,105.12,364.14,281.13,105,32,3
128.27,130.13,126.93,62.533,29.133,15,28,4
135.17,137.06,132.06,60.611,124.11,18,21,4
125.32,127.85,119.99,98.153,25.694,72,30,4
127,129.59,123.41,87.614,101.23,44,30,4
128.58,129.71,124.55,73.605,91.447,38,32,4
134.85,136.03,130.97,70.636,163.48,33,22,4
162.26,160.79,144.11,82.632,211.58,19,20,4
158.49,158.73,152.99,43.544,291.5,90,22,4
174.4,177.41,173.13,43.336,238.94,119,10,4
134.92,135.77,133.67,55.897,187.31,39,32,4
159.19,157.31,133.54,88.434,334.87,83,11,4
152.51,153.78,130.86,105.08,335.73,49,10,4
144.61,145.61,140.32,81.484,394.39,31,18,4
141.9,144.1,137.5,99.775,406.7,40,11,4
144.29,144.67,139.21,81.881,449.88,42,18,4
151.06,152.87,143.32,82.434,485.87,136,15,4
141.72,141,130.19,96.688,529.75,32,17,4
164.71,168.09,164.42,70.5,544,66,14,4
164.84,163.88,158.54,77.196,567.09,56,25,4
184.97,196.13,191.94,79.216,34.371,97,7,5
180.62,181.06,180.79,60.486,236.84,109,32,5
166.69,177.11,181.75,157.63,39.362,152,1,5
153.62,159.07,162.67,155.12,68.833,317,1,5
189.45,193,193.98,147.23,132.14,83,17,5
193.98,197.65,199.5,146.79,179.6,48,4,5
168.83,174.83,179.08,228.5,44,12,4,5
145.87,138.56,135.21,225.88,76.79,224,10,5
152.8,140.42,138.12,231.97,103.09,158,3,5
174.67,170.31,172.14,237.66,143.52,308,6,5
188.49,178.92,182.71,280.75,122.64,59,5,5
90.507,82.901,71.592,381.08,144.54,71,61,5
87.466,77.393,69.528,401.22,127.41,163,4,5
71.845,65.093,52.264,417.99,123.8,129,16,5
80.95,49.604,49.031,568.45,92.688,260,6,5
79.722,50.639,20,405.44,284.28,36,12,5
109.65,83.943,56.562,294.25,297.39,194,2,5
79.852,72.408,67.776,158.42,287.9,196,3,5
77.29,74.03,73.325,198.44,297.89,231,6,5
98.333,50.619,51.81,327.38,291.27,63,9,5
72.555,66.402,60.148,453.45,268.1,256,41,5
91.562,63.652,42.219,527.36,491.06,201,12,5
116.45,98.786,78.133,397.07,491.76,173,5,5
138.05,140.26,143.95,259.36,491.8,535,5,5
203.1,201.87,207.67,149.93,485.62,108,7,5
84.537,75.7,64.934,534.81,273.26,287,8,6
88.237,82.944,78.827,585,271.31,498,1,6
88.237,82.944,78.827,585,271.31,498,3,6
220.67,221.44,222.26,122.86,86.116,380,0,1
248.53,252.51,254.99,84.662,25.897,2103,0,1
251.38,253.09,254.95,41.557,32.769,2636,0,1
251.93,253.54,254.98,41.097,97.297,5014,1,1
252.7,253.86,254.99,37.29,142.85,2543,0,1
251.81,252.64,253.75,54.445,181.79,3041,0,1
252.88,253.9,254.99,36.999,299.56,7103,0,1
251.76,253.34,254.85,87.71,263.73,1178,0,1
252.88,253.9,254.99,36.999,299.56,7103,0,1
252.46,253.46,255,65.388,354.17,1962,0,1
252.47,253.61,254.9,26.355,428.47,5913,1,1
252.96,253.96,255,76.161,496.02,707,0,1
250.01,252.95,254.96,52.491,609.92,5942,0,1
250.01,252.95,254.96,52.491,609.92,5942,1,1
250.01,252.95,254.96,52.491,609.92,5942,0,1
248.04,251.96,254.99,84.525,693.55,948,0,1
249.93,252.58,254.98,18.82,733.42,3725,0,1
247.28,250.83,254.84,130.85,760.19,356,0,1
249.03,252.21,254.93,81.06,655.21,4796,0,1
252.1,253.56,254.96,74.197,395.41,3883,0,1
252.71,253.75,254.97,62.362,232.83,2640,0,1
252.47,253.61,254.9,26.355,428.47,5913,0,1
252.71,253.75,254.97,62.362,232.83,2640,0,1
92.42,107.16,63.932,432.39,132.33,88,32,2
94.95,113.63,65.317,428.92,164.62,60,34,2
105.66,126.32,82.799,480.51,261.25,154,55,2
176.04,188.71,114.79,521.5,504.29,24,17,2
167.67,178.16,106.05,520.12,634.98,86,19,2
144.71,176.64,98.786,568.64,537.14,14,9,2
195.75,197.34,144.29,507.61,350.58,178,9,2
83.966,110.39,58.17,439.19,20.648,88,29,2
98.955,113.36,59.705,461.02,778.07,44,49,2
138.51,141.22,68.785,461.09,665.54,65,22,2
241.42,223.5,201.6,257.5,12.063,48,7,3
229.38,211.32,193.18,239.88,41.9,60,7,3
231.7,213.05,188.2,282,32.5,20,14,3
212.52,184.89,161.15,347.41,38.074,27,35,3
228.96,199.28,164.68,346.92,11.4,25,15,3
210.17,184.1,158.29,379.54,36.415,41,28,3
244,221,195.6,379.77,62.014,70,15,3
236,212.63,183.44,423.56,59.563,16,16,3
245.96,226.55,202.45,306.35,66.2,135,12,3
243.63,227.67,202.54,238.33,77.566,122,7,3
249.97,235.5,214.37,268.11,74.778,90,16,3
249.82,233.47,208.53,257,100,17,11,3
251.58,236.4,213.19,262.72,148.65,43,6,3
250.55,235.71,210.67,229.53,150.22,58,3,3
248.18,231.39,205.79,258.14,174.42,76,22,3
248.33,232.37,208.41,251,228.67,63,14,3
243.19,223.82,202.24,233.6,252.19,72,23,3
248.35,229.42,202.65,289.85,246.42,26,19,3
244.49,222.62,197.96,347.64,248.77,47,28,3
248.63,227.25,201.13,349.98,200.22,40,8,3
248.32,233.74,207.18,348.79,158.53,38,7,3
251.94,235.86,212.54,299.58,159.54,78,8,3
240.9,223.49,198.67,291.89,122.98,100,18,3
234.2,204.26,168.59,454.05,206.3,61,22,3
232.42,205.4,175.72,450.67,237.09,43,33,3
238.24,217.16,192.04,392.76,249.02,45,29,3
246.66,226.41,202.8,445.32,279.86,56,35,3
244.02,222.96,196.73,397.42,280.04,48,18,3
246.09,231,206.83,333.66,290.77,35,10,3
250.13,235.16,211.5,270.36,290.76,90,5,3
243.38,232.12,209.62,246.19,305.92,26,11,3
245.37,225.57,200.96,292.45,308.94,49,12,3
247.86,230.45,206.83,345.98,312.71,42,11,3
243.55,221.55,196.31,377.07,303.96,55,17,3
243.19,222.41,198.19,394.38,340,74,10,3
245.7,225.95,202.52,432.8,343.36,81,14,3
231.54,206.54,178.96,459.76,328.79,178,16,3
244.4,225,198.56,359.84,339.04,25,16,3
246.52,229.83,203.75,348.17,393.58,48,16,3
243.28,223.93,198.35,307.57,408.7,81,25,3
251.61,238.39,214.29,256.89,403.29,28,8,3
251.92,242.74,221.38,272.08,388.08,53,5,3
248.82,236.12,214.37,258.9,334.73,49,12,3
249.94,236.96,217.36,247.23,430.6,96,7,3
251.31,237.48,215.31,275.21,428.79,29,13,3
246.01,229.1,205.16,270.65,475.77,79,16,3
233.95,213.79,193.68,273.5,510.46,84,15,3
225.21,206.03,189,246.56,520.44,70,25,3
210.68,186.95,167.03,304.56,524.69,59,13,3
212.04,188.64,168.45,347.04,516.49,47,20,3
214.59,186.8,167.42,373.95,516.92,59,23,3
241.06,219.92,193.68,365.06,479.35,63,24,3
241.86,219.09,195.35,368.96,431.56,97,13,3
245.36,224.46,198.91,315.19,429.74,85,10,3
230.97,206.63,181.53,460.63,417.32,40,14,3
247.55,227.89,202.83,416.76,441.86,127,11,3
229.79,205.92,181.45,464.24,448.47,38,22,3
227.72,203.5,180.55,461.75,495.16,64,15,3
216.34,194.57,172.06,422.77,516.97,35,31,3
241.7,222.3,198.79,464.64,561.66,53,11,3
247.62,223.3,193.7,389.84,559.23,61,20,3
246.15,227.36,203.26,337.38,566.1,159,17,3
249.19,231.05,206.76,261,571,21,7,3
248.38,229.9,205.26,269.66,603.6,80,14,3
249,237,216,246.3,642.1,10,16,3
248.3,231.23,208.27,282.55,645.27,64,12,3
250.82,232.45,207.75,266.82,691.95,44,11,3
248.37,229.79,200.39,259.7,755.03,67,18,3
249.92,232.63,209.13,252.43,743.58,79,8,3
247.17,231.31,205.53,295.81,738.72,36,18,3
242.72,219.18,192.27,354.39,739.43,102,19,3
245.94,221.86,196.77,358.54,720.43,35,19,3
248.84,233.81,207.81,372.65,665.32,31,8,3
246.83,223.52,197.19,390.15,633.79,52,11,3
242.87,221.32,197.9,418.16,654.81,77,13,3
202.67,179.26,157.91,444.42,733.73,159,23,3
241.7,216.55,182.45,369.95,769.45,20,13,3
247.95,229.8,201.15,315.75,764.7,20,21,3
251.41,231.32,202.86,277.34,765.77,56,7,3
250.96,234.93,209.87,279.67,791.16,82,8,3
249.24,233.38,208.43,314.71,646.38,21,14,3
248.76,233.24,207.57,363.52,582.19,21,17,3
200.7,189.74,182.9,137.77,18.082,98,22,4
199.16,186.16,178.41,172.49,44.02,49,22,4
189.91,178.2,173.87,148.7,71.627,102,29,4
199.44,187.15,180.12,170.84,93.415,82,10,4
204.39,190.16,184.92,162.67,113.44,61,25,4
209.9,200.23,198.52,122.29,126.42,31,39,4
204.19,190.15,184.09,159.87,136.02,93,30,4
206.74,193.89,189.25,154.89,196.61,57,19,4
202.91,191.58,184.28,123.03,205.73,64,19,4
204.26,192.12,186.91,137.61,270.48,105,20,4
204.66,192.09,188.35,160.08,247.23,92,14,4
203.08,190.19,184.69,140.67,225.11,36,43,4
199.23,186.62,180.3,191.95,261.73,79,12,4
201.8,186.96,182.13,198.38,160.44,45,30,4
199.19,185.37,181.33,198.54,293.64,70,12,4
200.57,186.29,181.14,210.07,412.21,28,17,4
141.52,137.03,143.87,221.29,519.97,31,21,4
198.74,188,180.04,211.3,552.7,23,16,4
195.69,186.15,182.23,208.38,641.38,13,31,4
190.07,178.43,173.36,215,723,14,18,4
193.34,182.39,180.68,182.44,531.89,71,24,4
166.51,156.68,155.75,170.12,492.86,57,18,4
208.55,199.82,194.61,166.89,418.04,56,41,4
199.43,186.17,182.35,163.48,358.13,23,36,4
208.65,197.24,193.16,151.8,317.84,49,13,4
202.6,193.72,188.64,162.11,570.51,47,16,4
203.41,196.32,190.36,167,645.23,22,14,4
206.57,198.02,194.1,136.04,628.46,124,35,4
204.42,191.12,185.49,174.88,723.14,43,16,4
195.72,185.85,181.44,176.54,778.27,109,20,4
151.91,161.21,167.67,198.73,12.455,33,58,5
182.29,186.45,182.52,200.2,110.39,150,3,5
223.72,231.76,239.72,199.28,211.31,29,4,5
77.11,68.801,71.618,214.18,355.12,136,12,5
232.04,232.41,229.17,208.37,473.04,113,2,5
229.25,235.21,241.64,207.82,584.04,28,11,5
204.83,210.01,210.24,211.23,687.38,92,8,5
219.47,221.35,219.21,220.73,789.99,78,5,5
74.059,72.468,75.285,219.82,13.742,186,3,5
89.427,85.864,83.68,213.91,111.39,206,21,5
97.728,92.148,95.123,225.37,205.57,81,7,5
164.45,153.27,146.64,234.5,229.69,321,6,5
184.35,181,174.34,235.1,332.38,210,36,5
178.99,181.03,183.61,237.4,357.21,75,34,5
142.68,137.94,130.4,232.05,457.59,420,41,5
124.94,122.87,118.52,234.7,491.69,358,49,5
100.06,96.543,97.343,235.49,587.91,70,10,5
98.245,93.113,91.17,234.83,600.26,53,12,5
92.777,92.146,88.062,239.8,681.8,130,14,5
117.86,124.78,128.95,244.11,700.27,175,21,5
131.6,122.29,116.26,250.55,781.99,489,15,5
171.44,166.17,160.64,300.13,786.49,321,23,5
194.71,185.97,177.18,316.76,780.46,338,6,5
121.34,116.86,115.41,300.07,698.82,109,69,5
107.98,108.34,109.74,314.52,700.57,191,102,5
100.77,95.307,85.737,321.24,682.06,274,6,5
86.221,82.398,78.558,296.81,686.57,113,7,5
151.85,149.14,149.92,298.74,598.38,66,39,5
184.51,179.29,168.6,286.85,478.12,407,53,5
123.31,118.07,113.06,298.77,462.56,295,4,5
111.26,100.29,93.701,327.58,462.29,401,5,5
130.13,129,137.38,319.86,479.29,143,84,5
184.18,177.16,165.96,288.13,367.21,352,74,5
176.86,169.12,156.67,290.81,332.02,220,39,5
214.5,217.57,217.83,317.89,337.88,185,26,5
206.66,209.38,209.25,315.93,356.93,87,12,5
181.68,177.52,168.43,276.82,215.9,232,20,5
204.62,196.54,182.62,278.65,189.71,400,13,5
204.05,201.94,198.59,296.57,196.18,180,20,5
205.4,206.89,208.28,300.49,219.08,184,15,5
231.77,237.74,236.15,287.26,102.87,39,22,5
