@RELATION train_nonumpixels

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
65.377,83.987,46.903,19.715,26.886,589.44,17.974,44,2
37.208,43.208,27.158,71.758,24.596,551.68,17.762,30,2
90.227,99.841,49.5,-11.12,19.618,553.86,42.864,16,2
91.206,90.691,51.99,-4.674,28.832,518.46,46.474,26,2
34.038,37.808,30.038,-3.558,23.273,519.5,16.615,21,2
115.5,99.929,70.667,-19.556,74.956,490.6,20.405,110,2
101.57,103.43,62.922,-24.487,39.931,485.34,53.289,42,2
68.182,74.668,46.421,14.242,26.456,450,51.953,65,2
75.9,86.36,56.5,-20.625,41.29,464.38,22.24,86,2
79.582,85.478,58.119,65.671,25.558,438.22,18.03,21,2
100.14,112.5,81.694,13.834,25.91,415.51,53.342,33,2
115.54,110.3,72.263,51.402,26.489,418.14,23.544,48,2
100.37,109.49,57.486,17.024,30.278,256.43,796.94,63,2
79.093,96.224,73.028,43.657,28.608,275.3,774.37,27,2
75.542,89.61,58.797,27.279,34.808,299.19,760.59,63,2
66.123,69.246,41.035,0.74737,20.683,336.18,764.98,14,2
54.481,55.532,38.671,38.693,20.693,361.52,763.73,48,2
44.112,54.252,40.196,-40.333,20.549,392.59,782.15,42,2
24.287,31.517,20.103,15.265,10.964,369.72,789.31,17,2
40.647,56.176,31.618,20.118,23.815,321.09,785.94,11,2
65.368,80.895,48.237,37.919,21.258,299.76,793.97,21,2
244.75,219.58,184.67,-19.218,87.389,71.75,160.75,9,3
235.79,208.18,173.32,35.805,14.322,29.315,170.75,19,3
234.65,203.02,168.19,17.224,11.869,32.115,195.77,14,3
241.65,215.93,183.51,61.623,12.423,60.098,176.92,16,3
236.95,212.98,178.14,23.782,11.481,162.62,135.64,24,3
242.23,219.84,188.71,10.439,10.809,214.32,131.74,8,3
240.68,219.64,186.99,45.218,17.414,210.39,184.93,22,3
246.41,226.27,195.12,71.554,98.987,211.93,239.84,20,3
243.91,219.2,185,0.83029,86.863,171.97,254.69,9,3
244.7,219.24,186.75,0.51715,14.181,173.81,302.47,29,3
241.2,220.02,191.43,62.106,13.875,217.75,290.95,15,3
242.13,214.64,180.51,42.977,15.009,211.96,360.72,14,3
234.58,210.38,175.81,-10.947,18.906,214.38,416.81,27,3
233.94,207.77,175.7,2.182,21.391,218.98,460.44,56,3
242.89,221.66,191.85,2.269,16.158,176.54,449.15,21,3
242.47,218.27,185.52,-0.14302,12.624,175.32,513.64,14,3
239.43,216.13,186.05,15.112,16.003,220.87,519.39,23,3
238.56,213.98,180.94,-47.114,16.705,218.1,567.31,22,3
239.7,218.09,184.57,76.591,15.487,216.95,634.5,7,3
237.99,214.22,177.86,-35.482,16.576,220.77,689.4,17,3
232.85,207.52,169,-80.184,23.402,178.33,687.3,19,3
240.57,219.46,187.52,-84.959,12.717,212.41,729.46,17,3
221.46,191.2,160.02,0.37339,16.188,262.18,698.38,32,3
197.98,167.19,137.93,-0.25528,22.258,316.84,700.69,59,3
180.43,150.73,123.05,-60.826,16.962,355.77,704.13,15,3
152.39,130.47,110.83,97.284,81.489,394.38,719.15,9,3
121,97.11,79,83.026,19.585,444.6,733.25,30,3
204.43,174.11,144.49,-25.537,19.801,321.08,663.91,12,3
229.02,201.12,168.68,10.09,16.413,258.17,660.45,22,3
204.94,170.1,135,74.907,18.457,381.55,624,32,3
220.21,185.11,153.68,9.415,16.431,389.77,581.63,20,3
218.6,199.06,170.76,47.868,13.292,388.54,548.02,8,3
226.17,198.7,163.09,-82.019,19.517,334.52,531,39,3
238.92,214.17,178.69,22.895,16.393,267.97,528.47,16,3
230.7,202.91,166.64,75.415,14.494,281.24,501.34,23,3
232.8,202,159.13,56.746,14.975,353.17,504.7,28,3
216.25,178.86,143.83,-11.111,18.941,418.3,508.79,29,3
200.32,165.36,136.08,10.567,23.835,492.64,513.32,21,3
181.69,151.17,126.38,11.928,31.307,567.21,510.31,25,3
182.59,154.95,126.04,-0.40393,20.73,577.72,563.32,20,3
178.71,152.29,124,11.883,15.926,577.79,615.71,22,3
159.45,131.96,104.53,-6.358,18.383,573.41,687.43,12,3
141.65,117.49,92.912,0.30598,11.276,570.04,750.68,9,3
189,152.47,122.31,-0.9755,23.027,532.29,543.16,15,3
198.03,167.17,134.45,-25.337,26.304,442.83,534.62,24,3
209.98,174.2,135.25,3.946,15.284,569.9,436.51,33,3
209.05,170.55,134.43,30.171,14.578,531.48,442.82,13,3
204.2,170.73,137.94,-39.267,25.09,461.61,459.3,45,3
207.68,177.68,145.36,-20.098,26.589,412.86,430.27,47,3
222.98,190.16,150.88,19.743,26.266,350.71,454.96,30,3
223.47,192.47,153.09,-1.753,26.886,374.39,423.37,47,3
233.5,203.35,165.89,-39.316,20.461,305.22,437.74,10,3
233.8,206.84,176.36,13.148,60.331,276.88,464.52,8,3
241.05,210.57,173.38,0.59157,18.591,242.95,444.67,26,3
240.63,218.37,186.17,-1.498,94.667,239.77,309.52,19,3
242.71,217.29,182.35,24.792,15.526,254.61,253.35,25,3
235.56,205.08,168.41,-11.459,16.224,280.28,234.13,26,3
240.06,215,182.76,3.749,18.049,273.53,286.88,25,3
236.87,206.43,169,77.074,78.037,388.3,322.22,7,3
237.53,206.16,167.47,57.645,11.093,382.37,384.47,16,3
231.06,196.06,161.51,29.845,21.041,434.28,290.66,18,3
230.88,196.8,158.5,0.61645,19.969,420.33,251.38,33,3
240.97,214.69,178.04,11.043,10.944,382.13,190.77,13,3
244,219.89,181.64,12.335,4.396,347.42,186.37,10,3
235.05,204.1,168.56,50.756,14.685,349.73,137.71,18,3
235.21,208.31,173.55,48.867,23.02,288.97,133.52,24,3
237.41,207.28,170.48,84.974,20.314,241.62,137.72,29,3
232.05,205.65,172.3,21.576,17.047,378.92,143.35,18,3
213.06,178.43,137.24,-6.196,23.213,439.3,123.82,11,3
189.78,146.59,99.13,27.041,35.421,508.5,118.26,32,3
211.59,178.64,140.97,-24.356,23.262,562,220.77,20,3
215.89,182.46,144.76,44.795,17.927,563.7,294.54,19,3
219.25,187.26,153.07,62.481,20.426,493.44,298.18,21,3
202.65,176.83,140.52,62.199,10.231,570.54,372.04,23,3
188.05,164.66,147.62,10.329,11.21,276.15,96.689,16,3
200,174.73,145.9,82.727,14.798,337.88,84.034,21,3
210.56,178.6,139.82,-90.411,11.628,364.69,20.452,14,3
200.87,166.47,134.34,38.535,10.471,326.14,32.398,16,3
199.98,167.95,138.75,-87.935,14.876,312.32,56.375,18,3
198.47,162.05,136.05,-12.858,12.312,317.05,88.053,20,3
169.54,152.78,138.16,14.166,23.774,102.46,176.88,40,4
162.58,147.88,132.54,47.241,33.641,78,205.17,49,4
169.58,156.83,150.57,-30.466,14.494,69.864,227.17,17,4
160.54,143.88,128.83,-47.686,21.186,93.707,222.88,49,4
165.97,153.8,137.11,11.377,23.025,89.314,266.11,31,4
172.38,156.64,144.74,14.005,26.33,91.379,304.1,31,4
182.98,170.83,159.47,95.299,19.649,64.107,315.87,21,4
173.13,155.13,142.87,19.661,14.769,112.23,267.47,24,4
163.02,146.02,131.44,46.844,21.096,117.67,304.4,47,4
157.6,142.42,126.48,-4.266,26.62,87.776,343.67,21,4
163.05,145.63,129.42,-13.425,15.777,74.158,350.74,26,4
160.5,148.05,131.21,12.687,29.311,97.816,373.55,68,4
169.39,154.03,139.56,-11.86,22.749,77.188,379.95,26,4
162.89,146.66,134.24,-29.212,19.816,94.684,424.66,36,4
158.67,144.49,129.84,87.878,22.012,78.909,434.76,22,4
170.12,153.29,140.51,-38.002,35.889,122.15,443.37,53,4
165.39,147.52,133.97,17.888,26.603,123.55,487.06,17,4
168.42,152.47,141.47,-17.172,24.398,86.472,461.61,35,4
164.97,149.79,139.85,-22.305,23.247,82.795,501.87,28,4
165.56,151.62,141.15,-13.81,18.469,84.765,549.44,26,4
161.38,147.07,136.72,37.381,18.017,102.93,504.62,16,4
165.5,150.38,139.63,-35.545,25.343,102.34,589.38,21,4
160.57,143.57,137.93,-0.15018,15.243,82.714,594.5,16,4
153.8,135.05,122.65,-0.34381,13.949,129.8,637.73,17,4
145.76,130.83,117.52,-27.413,18.579,101.28,629.66,27,4
168.14,150.95,141.57,-22.263,23.944,100.67,672.81,45,4
173.43,156.12,142.24,40.159,14.663,79.041,675.33,21,4
154.71,138.74,130.38,12.507,18.476,105.85,725.18,24,4
151.11,135.14,124.77,-9.675,18.989,136.33,670.1,16,4
189.99,193.18,194.63,5.621,35.086,164.77,171.55,3,5
137.32,131.11,130.92,14.361,17.176,160.54,201.36,2,5
196.6,213.08,222.82,33.547,14.724,171.8,350.94,3,5
194.48,207.65,216.29,65.306,46.845,165.23,387.65,5,5
161.39,161.28,142.39,84.469,31.62,181.12,565.38,5,5
225.34,231.91,232.16,27.871,16.705,172.03,603.91,1,5
195.01,201.27,188.28,-32.289,36.584,174.46,740.33,2,5
219.84,222.46,217.92,82.399,10.803,177.61,771.84,5,5
176.54,179.52,180.99,25.425,24.796,300.14,397.7,18,5
76.338,67.873,64.15,24.264,15.165,317.65,361.24,8,5
95.772,89.18,83.358,45.996,22.695,267.46,360.4,5,5
126.96,123.39,117.05,47.862,36.354,257.22,396.27,30,5
201.97,221.75,232.26,13.774,10.905,281.72,187.98,3,5
119.15,114.79,103.6,77.984,25.774,437.1,343.87,53,5
108.93,105.43,94.709,-55.426,26.839,437.53,390.39,55,5
158.47,166.69,165.6,10.831,11.358,490.14,396.36,7,5
199.14,206.36,202.48,14.721,79.401,498.89,347.77,8,5
190.97,213.56,225.24,23.464,50.615,268.64,194.37,1,5
111.73,113.52,109.41,-54.506,22.012,439.92,579.39,37,5
95.991,100.3,97.346,44.291,21.442,443.35,615.49,51,5
132.09,148.57,154.18,12.066,18.982,492.38,619.99,11,5
150.74,160.05,162.23,55.533,12.004,491.69,579.13,8,5
92.286,87.683,81.413,-13.135,21.86,267.48,610.3,10,5
138.66,123.97,102.18,12.906,32.928,268.68,572.16,78,5
50.067,36.533,23.322,42.795,10.888,318.6,591.1,1,5
56.854,43.566,27.066,81.004,12.087,302.47,572.58,2,5
66.44,63.161,59.943,26.111,13.464,330.04,603.03,3,5
69.44,61.899,57.518,12.762,27.002,292.78,610.73,47,5
45.142,31.725,21.018,14.143,90.736,331.44,579.55,3,5
121.36,82.507,72.726,10.5,9.135,466.04,152.32,10,6
108.79,84.321,75.377,11.776,76.058,459.57,173.81,12,6
124.69,73.753,65.629,-49.531,14.183,485.54,150.6,38,6
106.82,68.844,58.489,15.515,12.654,504.73,171.47,30,6
88.063,65.008,53.587,20.408,47.533,532.17,153.75,4,6
90.48,68.16,60.52,12.605,56.216,529.96,175.96,6,6
89.359,67.051,55.641,14.389,57.312,571.23,175.21,9,6
85.417,62.689,50.879,23.878,55.392,570.6,140.36,4,6
26,16.821,17.857,13.247,46.942,464.79,783.43,2,6
55.739,61.775,59.408,0.78056,30.678,503.04,794.12,83,7
57.497,129.28,133.55,-34.415,31.693,528.4,792.52,10,7
254.99,254.99,254.99,87.069,0.019415,21.133,42.705,0,1
254.97,254.97,254.97,82.308,0.12247,28.312,84.902,0,1
254.92,255,254.99,83.821,0.042524,16.705,166.78,0,1
242.3,243.71,241.58,50.378,80.032,24.533,307.82,0,1
254.99,254.99,254.99,87.653,0.03069,36.509,376.47,0,1
250.61,250.39,249.91,76.386,31.442,31.059,453.04,0,1
254.9,254.96,254.86,84.994,0.13411,29.002,599.13,0,1
255,255,255,88.213,0,51.521,751.1,0,1
254.99,254.99,254.99,89.557,0.018155,137.77,662.5,0,1
254.97,254.97,254.91,88.109,0.06296,155.37,753.41,0,1
254.99,255,254.99,89.672,0.010761,243.51,657.26,0,1
252.83,252.95,249.33,71.83,29.084,225.03,749.82,0,1
254.73,254.79,253.57,77.519,0.41028,353.19,662.84,0,1
143.24,135.57,57.568,13.6,17.949,367.19,788.86,18,2
102.67,98.513,36.359,17.451,12.187,456.49,782.92,13,2
159.9,142.58,56.806,-0.067439,15.186,478.52,743.48,21,2
129.25,113.35,53.584,96.457,27.97,484.11,680.55,31,2
148.86,139.34,66.214,18.626,14.976,488.58,615.99,19,2
51.622,57.081,29.946,-11.603,32.092,263.7,16.243,39,2
56.978,67.911,38.6,10.595,30.31,313.93,47.578,27,2
103.46,108.52,64.24,68.329,26.314,390.34,67.52,55,2
68.167,70.934,36.157,-45.241,22.911,467.48,76.495,29,2
49.955,51.125,24.898,20.647,15.635,505.6,17.795,31,2
69.466,77.552,42.966,-11.935,23.549,387.31,14.241,23,2
141.14,142.9,97.707,6.074,15.978,548.89,711.74,14,2
71.816,68.737,38.579,16.349,10.915,572.34,626.53,12,2
203.31,175.53,161.89,34.381,12.454,133.97,565.63,40,3
191.28,160.07,144.54,37.534,11.251,217.31,554.99,18,3
174.19,147.95,131.59,72.157,18.499,338.81,560.35,21,3
173.11,140.42,120.75,11.945,15.651,403.35,557.95,16,3
174.83,139.6,116.69,0.91336,13.991,478.65,557.26,38,3
145.94,111.32,93.992,-7.98,16.2,555.9,570.43,32,3
184.15,140.15,110.72,15.477,12.483,583.58,488.18,17,3
148.48,120.6,102.76,56.436,17.116,472.32,485.36,16,3
180.62,148.64,126.72,-0.776,14.803,340.08,487.43,12,3
191.6,154.53,142.92,14.052,12.215,213.28,485.3,13,3
180.69,156.86,143.43,11.19,17.844,135.86,439.37,22,3
178.12,146.55,132.24,10.774,11.976,229.45,434.48,16,3
169.67,142.43,122.9,16.772,16.987,367.93,427.77,26,3
145.42,119.92,104.07,59.103,26.268,474.37,429.71,44,3
157.6,118.87,98.726,57.312,13.603,550.75,423.37,30,3
160.28,126.26,108.47,21.824,17.16,436.51,337.37,20,3
178.48,142.84,121.3,0.40498,14.809,342.81,343.72,21,3
169.88,144.22,131.53,-83.668,22.819,276.46,355.11,21,3
194.54,164.31,148.81,-41.309,12.05,201.72,350.37,10,3
191.93,158.61,146.73,18.516,14.573,150.14,357.9,15,3
252.49,245,228.48,0.83679,48.862,58.552,316.62,13,3
228.77,200.78,180.35,24.609,10.24,95.623,285.27,9,3
229.05,198.34,175.76,78.281,7.939,125.37,262.24,17,3
202.9,167.38,147.36,-52.311,77.541,195.45,252.67,12,3
182,149.94,132.63,-12.362,17.27,280.86,251.86,23,3
160.89,134.59,116.61,44.689,27.159,360.38,247.92,50,3
164.67,134.05,114.4,-32.027,29.008,449.21,237.76,74,3
152.89,122.52,104.23,-50.892,16.225,536.98,231.85,22,3
194.3,166.24,151.54,15.075,98.664,143.67,225.87,13,3
172.21,149.44,136.59,80.898,16.825,207.06,210.88,24,3
187.4,157.11,134.26,-44.014,11.101,282.69,197.63,11,3
163.1,141.21,124.78,86.645,22.336,355,192.72,25,3
168.87,132.02,110.31,18.212,16.763,432.96,194.33,22,3
147.11,114.35,99.532,61.581,16.151,518.85,187.18,24,3
156.51,122.77,105.65,38.763,19.375,563.09,162.46,40,3
154.98,119.21,103.19,64.393,26.482,488.52,163.37,17,3
191.56,162.19,140.38,53.146,19.134,315.47,165.16,24,3
181.82,149.45,129.69,62.503,15.467,316.24,127.54,24,3
186.83,158.15,144.35,-25.701,15.56,245.42,178.95,16,3
196.81,158.71,147.11,49.885,10.365,182.47,172.63,22,3
183.77,152.6,139.73,15.975,13.599,180.32,136.25,19,3
192.12,154.55,141.25,-54.238,12.893,189.76,87.978,22,3
194.24,161.88,150.54,15.499,13.449,191.38,38.5,27,3
152.07,134.77,125.87,-0.92247,16.54,111.13,13.294,29,3
185.74,154.64,140.71,86.913,13.347,121.69,61.306,13,3
177.61,144.46,135.59,-3.031,11.114,110.08,117.97,16,3
183.45,152.15,139.34,86.613,15.372,109.51,191.64,16,3
189.1,165.51,156.67,19.059,16.34,142.08,99.846,13,3
168.58,151,140.5,0.16682,25.375,241.25,93.458,48,3
188.96,157.7,144.39,-59.829,15.127,150.7,457.7,14,3
165.74,153.3,150.75,-11.165,24.903,141.34,504.19,10,3
168.65,136.3,121.84,26.307,15.212,269.85,448.84,24,3
166.9,144.47,134.3,4.058,24.057,265.03,514.07,39,3
160.59,134.27,118,32.817,21.696,397.95,519.23,34,3
126.92,104.98,92.147,14.357,23.036,398.67,462.04,18,3
165.55,133.28,112.32,48.785,17.26,420.13,417.45,13,3
174.81,140.35,128.59,70.537,16.842,130.34,296.55,27,3
160.47,130.09,117.33,-32.937,14.856,243.91,286.2,3,3
145.91,121.38,105.12,-17.871,20.617,364.14,281.13,32,3
128.27,130.13,126.93,-23.9,20.131,62.533,29.133,28,4
135.17,137.06,132.06,-33.666,20.243,60.611,124.11,21,4
125.32,127.85,119.99,-16.707,15.658,98.153,25.694,30,4
127,129.59,123.41,-23.244,18.669,87.614,101.23,30,4
128.58,129.71,124.55,-32.878,17.362,73.605,91.447,32,4
134.85,136.03,130.97,-26.604,15.849,70.636,163.48,22,4
162.26,160.79,144.11,-39.968,15.576,82.632,211.58,20,4
158.49,158.73,152.99,21.515,20.336,43.544,291.5,22,4
174.4,177.41,173.13,94.035,22.209,43.336,238.94,10,4
134.92,135.77,133.67,-20.849,16.8,55.897,187.31,32,4
159.19,157.31,133.54,10.121,16.129,88.434,334.87,11,4
152.51,153.78,130.86,14.768,15.536,105.08,335.73,10,4
144.61,145.61,140.32,12.773,11.919,81.484,394.39,18,4
141.9,144.1,137.5,50.342,15.778,99.775,406.7,11,4
144.29,144.67,139.21,94.693,10.68,81.881,449.88,18,4
151.06,152.87,143.32,96.621,13.404,82.434,485.87,15,4
141.72,141,130.19,13.317,13.016,96.688,529.75,17,4
164.71,168.09,164.42,22.085,27.09,70.5,544,14,4
164.84,163.88,158.54,-20.229,14.111,77.196,567.09,25,4
184.97,196.13,191.94,10.341,57.304,79.216,34.371,7,5
180.62,181.06,180.79,59.375,59.278,60.486,236.84,32,5
166.69,177.11,181.75,25.446,17.778,157.63,39.362,1,5
153.62,159.07,162.67,35.515,13.454,155.12,68.833,1,5
189.45,193,193.98,19.565,57.657,147.23,132.14,17,5
193.98,197.65,199.5,26.723,44.001,146.79,179.6,4,5
168.83,174.83,179.08,-57.366,30.802,228.5,44,4,5
145.87,138.56,135.21,96.117,23.748,225.88,76.79,10,5
152.8,140.42,138.12,29.863,21.29,231.97,103.09,3,5
174.67,170.31,172.14,36.124,13.426,237.66,143.52,6,5
188.49,178.92,182.71,23.483,43.258,280.75,122.64,5,5
90.507,82.901,71.592,20.082,26.46,381.08,144.54,61,5
87.466,77.393,69.528,63.755,15.052,401.22,127.41,4,5
71.845,65.093,52.264,13.735,23.248,417.99,123.8,16,5
80.95,49.604,49.031,81.722,18.763,568.45,92.688,6,5
79.722,50.639,20,54.716,89.467,405.44,284.28,12,5
109.65,83.943,56.562,31.988,14.177,294.25,297.39,2,5
79.852,72.408,67.776,0.61291,74.036,158.42,287.9,3,5
77.29,74.03,73.325,31.787,19.15,198.44,297.89,6,5
98.333,50.619,51.81,19.337,64.515,327.38,291.27,9,5
72.555,66.402,60.148,79.707,19.059,453.45,268.1,41,5
91.562,63.652,42.219,14.709,80.038,527.36,491.06,12,5
116.45,98.786,78.133,28.135,66.026,397.07,491.76,5,5
138.05,140.26,143.95,13.461,99.497,259.36,491.8,5,5
203.1,201.87,207.67,-45.369,55.735,149.93,485.62,7,5
84.537,75.7,64.934,17.945,89.279,534.81,273.26,8,6
88.237,82.944,78.827,11.092,12.218,585,271.31,1,6
88.237,82.944,78.827,11.092,12.218,585,271.31,3,6
220.67,221.44,222.26,36.21,12.363,122.86,86.116,0,1
248.53,252.51,254.99,82.259,0.09785,84.662,25.897,0,1
251.38,253.09,254.95,81.505,0.1071,41.557,32.769,0,1
251.93,253.54,254.98,82.187,0.10783,41.097,97.297,1,1
252.7,253.86,254.99,84.691,0.05607,37.29,142.85,0,1
251.81,252.64,253.75,77.238,0.76471,54.445,181.79,0,1
252.88,253.9,254.99,85.289,0.050118,36.999,299.56,0,1
251.76,253.34,254.85,71.239,0.3145,87.71,263.73,0,1
252.88,253.9,254.99,85.289,0.050118,36.999,299.56,0,1
252.46,253.46,255,86.606,0.048827,65.388,354.17,0,1
252.47,253.61,254.9,82.257,0.099365,26.355,428.47,1,1
252.96,253.96,255,85.29,0.068295,76.161,496.02,0,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,0,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,1,1
250.01,252.95,254.96,78.498,0.19982,52.491,609.92,0,1
248.04,251.96,254.99,82.045,0.11242,84.525,693.55,0,1
249.93,252.58,254.98,78.801,0.1701,18.82,733.42,0,1
247.28,250.83,254.84,70.553,0.30724,130.85,760.19,0,1
249.03,252.21,254.93,74.655,0.26252,81.06,655.21,0,1
252.1,253.56,254.96,83.085,0.13025,74.197,395.41,0,1
252.71,253.75,254.97,83.472,0.084799,62.362,232.83,0,1
252.47,253.61,254.9,82.257,0.099365,26.355,428.47,0,1
252.71,253.75,254.97,83.472,0.084799,62.362,232.83,0,1
92.42,107.16,63.932,-47.802,32.537,432.39,132.33,32,2
94.95,113.63,65.317,-0.96888,26.551,428.92,164.62,34,2
105.66,126.32,82.799,-13.123,37.012,480.51,261.25,55,2
176.04,188.71,114.79,-10.225,11.376,521.5,504.29,17,2
167.67,178.16,106.05,0.65833,12.15,520.12,634.98,19,2
144.71,176.64,98.786,18.951,11.243,568.64,537.14,9,2
195.75,197.34,144.29,27.009,14.039,507.61,350.58,9,2
83.966,110.39,58.17,94.858,31.601,439.19,20.648,29,2
98.955,113.36,59.705,-41.085,26.414,461.02,778.07,49,2
138.51,141.22,68.785,-15.846,24.62,461.09,665.54,22,2
241.42,223.5,201.6,13.48,8.498,257.5,12.063,7,3
229.38,211.32,193.18,19.35,72.132,239.88,41.9,7,3
231.7,213.05,188.2,-13.356,10.297,282,32.5,14,3
212.52,184.89,161.15,0.48776,19.012,347.41,38.074,35,3
228.96,199.28,164.68,-15.682,11.26,346.92,11.4,15,3
210.17,184.1,158.29,35.992,23.12,379.54,36.415,28,3
244,221,195.6,-65.798,95.541,379.77,62.014,15,3
236,212.63,183.44,14.03,11.149,423.56,59.563,16,3
245.96,226.55,202.45,-0.80831,10.141,306.35,66.2,12,3
243.63,227.67,202.54,33.797,15.953,238.33,77.566,7,3
249.97,235.5,214.37,43.091,70.727,268.11,74.778,16,3
249.82,233.47,208.53,-14.26,87.664,257,100,11,3
251.58,236.4,213.19,23.678,51.522,262.72,148.65,6,3
250.55,235.71,210.67,70.885,66.702,229.53,150.22,3,3
248.18,231.39,205.79,79.628,9.542,258.14,174.42,22,3
248.33,232.37,208.41,-17.348,87.994,251,228.67,14,3
243.19,223.82,202.24,12.122,10.06,233.6,252.19,23,3
248.35,229.42,202.65,23.316,11.587,289.85,246.42,19,3
244.49,222.62,197.96,23.979,10.131,347.64,248.77,28,3
248.63,227.25,201.13,56.608,10.045,349.98,200.22,8,3
248.32,233.74,207.18,29.517,10.907,348.79,158.53,7,3
251.94,235.86,212.54,-19.314,60.567,299.58,159.54,8,3
240.9,223.49,198.67,37.694,19.445,291.89,122.98,18,3
234.2,204.26,168.59,11.523,15.374,454.05,206.3,22,3
232.42,205.4,175.72,10.046,15.508,450.67,237.09,33,3
238.24,217.16,192.04,91.651,16.144,392.76,249.02,29,3
246.66,226.41,202.8,-0.014412,13.26,445.32,279.86,35,3
244.02,222.96,196.73,21.938,13.14,397.42,280.04,18,3
246.09,231,206.83,-25.443,14.441,333.66,290.77,10,3
250.13,235.16,211.5,15.06,7.769,270.36,290.76,5,3
243.38,232.12,209.62,25.758,15.896,246.19,305.92,11,3
245.37,225.57,200.96,69.567,11.339,292.45,308.94,12,3
247.86,230.45,206.83,14.796,10.231,345.98,312.71,11,3
243.55,221.55,196.31,-94.681,11.943,377.07,303.96,17,3
243.19,222.41,198.19,-20.433,16.813,394.38,340,10,3
245.7,225.95,202.52,15.443,12.677,432.8,343.36,14,3
231.54,206.54,178.96,-18.236,10.942,459.76,328.79,16,3
244.4,225,198.56,48.711,14.675,359.84,339.04,16,3
246.52,229.83,203.75,-19.816,10.956,348.17,393.58,16,3
243.28,223.93,198.35,44.166,13.358,307.57,408.7,25,3
251.61,238.39,214.29,12.68,62.785,256.89,403.29,8,3
251.92,242.74,221.38,20.209,4.83,272.08,388.08,5,3
248.82,236.12,214.37,-31.269,78.945,258.9,334.73,12,3
249.94,236.96,217.36,14.599,9.238,247.23,430.6,7,3
251.31,237.48,215.31,14.179,8.216,275.21,428.79,13,3
246.01,229.1,205.16,57.351,10.827,270.65,475.77,16,3
233.95,213.79,193.68,-55.439,12.613,273.5,510.46,15,3
